Obs,Obs,No,Drain2,Clay,Sand,SNF,Precipitation,EF
1,1,6,Coarse,111,474,200,504,0.00146
2,2,6,Coarse,111,474,200,504,0.00263
3,3,6,Coarse,95,601,200,364,0.00517
4,4,6,Coarse,95,601,200,364,0.00875
44,44,22,Coarse,200,460,45,256.1,0.012556
45,45,22,Coarse,200,460,110,256.1,0.011809
147,147,36,Coarse,230,440,120,311,0.001733
148,148,36,Coarse,230,440,120,311,0.002367
149,149,36,Coarse,230,440,120,311,0.000908
150,150,36,Coarse,230,440,120,311,0.000617
151,151,36,Coarse,230,440,120,113.3,0.003217
152,152,36,Coarse,230,440,120,113.3,0.003825
153,153,36,Coarse,230,440,120,113.3,0.00035
154,154,36,Coarse,230,440,120,113.3,0.001608
155,155,39,Coarse,170,680,90,659.8,0.002222
157,157,39,Coarse,170,680,90,550.3,0.004444
159,159,40,Coarse,380,230,80,553.4,0.009128
160,160,40,Coarse,380,230,80,553.4,0.008205
161,161,40,Coarse,380,230,160,553.4,0.007308
162,162,40,Coarse,380,230,160,553.4,0.006055
163,163,53,Coarse,106,592,75,589,0.004
164,164,53,Coarse,106,592,150,589,0.014667
165,165,53,Coarse,134,367,75,437,0.008
166,166,53,Coarse,134,367,150,437,0.016667
167,167,53,Coarse,138,382,75,690,0.021333
168,168,53,Coarse,138,382,150,690,0.032667
5,5,9,Fine,648,14,150,704.9,0.054667
6,6,9,Fine,555,22,150,761.2,0.03
8,8,10,Fine,508,93,130,599.3,0.086538
10,10,10,Fine,508,93,130,762.7,0.028077
12,12,10,Fine,508,93,130,761.7,0.092462
13,13,17,Fine,539,72,120,676,0.0561
14,14,17,Fine,539,72,120,676,0.061283
15,15,17,Fine,539,72,170,676,0.040573
16,16,17,Fine,539,72,170,676,0.043449
17,17,17,Fine,539,72,170,676,0.048943
18,18,17,Fine,539,72,220,676,0.019334
19,19,17,Fine,539,72,220,676,0.031836
20,20,17,Fine,539,72,220,676,0.054302
21,21,17,Fine,539,72,120,718,0.054762
22,22,17,Fine,539,72,120,718,0.074144
23,23,17,Fine,539,72,120,718,0.094749
24,24,17,Fine,539,72,170,718,0.03097
25,25,17,Fine,539,72,170,718,0.032324
26,26,17,Fine,539,72,170,718,0.051841
27,27,17,Fine,539,72,220,718,0.035333
28,28,17,Fine,539,72,220,718,0.043588
29,29,17,Fine,539,72,220,718,0.052627
30,30,17,Fine,539,72,120,702,0.005983
31,31,17,Fine,539,72,120,702,0.020155
32,32,17,Fine,539,72,120,702,0.050541
33,33,17,Fine,539,72,170,702,0.010438
34,34,17,Fine,539,72,170,702,0.015267
35,35,17,Fine,539,72,170,702,0.039392
36,36,17,Fine,539,72,220,702,0.017862
37,37,17,Fine,539,72,220,702,0.028073
38,38,17,Fine,539,72,220,702,0.036749
48,48,28,Fine,696,221,40,330.6,0.00095
