Study number,drain2,Clay,Sand,pH,Corg,OM,C_N,prec1,prec2,ETP,ETP2,PPE,PPE2,Tair,N_syn,N_org,Ntot,Org,type2,split2,crop2,till2,Cumul,EF,per_N_app,EF_2
2,0,190,290,7.6,25.9,4.46516,9.592592593,611.7,190.8,584.9,224.7,1.045819798,0.849132176,6.5,0,0,0,0,0,0,1,0,0.1,,,
2,0,190,290,7.6,25.9,4.46516,9.592592593,611.7,190.8,584.9,224.7,1.045819798,0.849132176,6.5,0.1,0,0.1,0,0,0,1,0,0.59,0.4868,,0.4868
2,0,190,290,7.6,25.9,4.46516,9.592592593,611.7,190.8,584.9,224.7,1.045819798,0.849132176,6.5,0.1,0,0.1,0,0,0,1,0,0.79,0.6868,,0.6868
2,0,190,290,7.6,25.9,4.46516,9.592592593,611.7,190.8,584.9,224.7,1.045819798,0.849132176,6.5,0.1,0,0.1,0,0,0,1,0,1.85,1.7468,,1.7468
6,0,111,474,6.2,16.3,2.81,14.42,504,115,606.1,227,0.83154595,0.50660793,5.3,0,0,0,0,0,0,0,1,0.19,,,
6,0,111,474,6.2,16.3,2.81,14.42,504,115,606.1,227,0.83154595,0.50660793,5.3,0.2,0,0.2,0,0,1,0,1,0.482,0.146,0.241,0.146
6,0,111,474,6.2,16.3,2.81,14.42,504,115,606.1,227,0.83154595,0.50660793,5.3,0.2,0,0.2,0,0,0,0,1,0.716,0.263,0.358,0.263
6,0,95,601,6.5,20.9,3.6,12.01,364,116,600,232.5,0.606666667,0.498924731,5.3,0,0,0,0,0,0,0,1,0.632,,,
6,0,95,601,6.5,20.9,3.6,12.01,364,116,600,232.5,0.606666667,0.498924731,5.3,0.2,0,0.2,0,0,1,0,1,1.666,0.517,0.833,0.517
6,0,95,601,6.5,20.9,3.6,12.01,364,116,600,232.5,0.606666667,0.498924731,5.3,0.2,0,0.2,0,0,0,0,1,2.382,0.875,1.191,0.875
8,0,227,335,6.1,18,3.1032,12.86,643.8,211.6,612,211,1.051960784,1.002843602,4,0,0,0,0,0,0,1,1,0.357,,,
8,0,227,335,6.1,18,3.1032,12.86,643.8,211.6,612,211,1.051960784,1.002843602,4,0,0.1376,0.1376,1,0,1,1,1,0.666,0.224563953,0.484011628,0.224563953
8,0,227,335,6.1,18,3.1032,12.86,643.8,211.6,612,211,1.051960784,1.002843602,4,0.14,0,0.14,0,0,1,1,1,1.219,0.615714286,0.870714286,0.615714286
8,0,227,335,6.1,18,3.1032,12.86,643.8,211.6,612,211,1.051960784,1.002843602,4,0,0.1419,0.1419,1,0,1,1,1,1.256,0.63354475,0.885130374,0.63354475
8,0,227,335,6.1,18,3.1032,12.86,643.8,211.6,612,211,1.051960784,1.002843602,4,0,0.1423,0.1423,1,0,1,1,1,1.638,0.900210822,1.151089248,0.900210822
8,0,227,335,6.1,18,3.1032,12.86,643.8,211.6,612,211,1.051960784,1.002843602,4,0,0.1453,0.1453,1,0,1,1,1,1.691,0.918100482,1.163799036,0.918100482
8,0,227,335,6.1,18,3.1032,12.86,643.8,211.6,612,211,1.051960784,1.002843602,4,0,0.1487,0.1487,1,0,1,1,1,1.595,0.832548756,1.072629455,0.832548756
8,0,171,726,6.5,21,3.6204,15,643.8,211.6,612,211,1.051960784,1.002843602,4,0,0,0,0,0,0,1,1,0.072,,,
8,0,171,726,6.5,21,3.6204,15,643.8,211.6,612,211,1.051960784,1.002843602,4,0,0.1376,0.1376,1,0,1,1,1,0.182,0.07994186,0.132267442,0.07994186
8,0,171,726,6.5,21,3.6204,15,643.8,211.6,612,211,1.051960784,1.002843602,4,0.14,0,0.14,0,0,1,1,1,0.342,0.192857143,0.244285714,0.192857143
8,0,171,726,6.5,21,3.6204,15,643.8,211.6,612,211,1.051960784,1.002843602,4,0,0.1419,0.1419,1,0,1,1,1,0.343,0.190979563,0.241719521,0.190979563
8,0,171,726,6.5,21,3.6204,15,643.8,211.6,612,211,1.051960784,1.002843602,4,0,0.1423,0.1423,1,0,1,1,1,0.255,0.128601546,0.179198876,0.128601546
8,0,171,726,6.5,21,3.6204,15,643.8,211.6,612,211,1.051960784,1.002843602,4,0,0.1453,0.1453,1,0,1,1,1,0.266,0.133516862,0.183069511,0.133516862
8,0,171,726,6.5,21,3.6204,15,643.8,211.6,612,211,1.051960784,1.002843602,4,0,0.1487,0.1487,1,0,1,1,1,0.274,0.135843981,0.184263618,0.135843981
8,0,227,335,6.1,18,3.1032,12.86,595.2,233.6,612,211,0.97254902,1.107109005,4,0,0,0,0,0,0,1,1,0.084,,,
8,0,227,335,6.1,18,3.1032,12.86,595.2,233.6,612,211,0.97254902,1.107109005,4,0,0.1393,0.1393,1,0,1,1,1,0.481,0.284996411,0.345297918,0.284996411
8,0,227,335,6.1,18,3.1032,12.86,595.2,233.6,612,211,0.97254902,1.107109005,4,0.14,0,0.14,0,0,1,1,1,0.629,0.389285714,0.449285714,0.389285714
8,0,227,335,6.1,18,3.1032,12.86,595.2,233.6,612,211,0.97254902,1.107109005,4,0,0.14,0.14,1,0,1,1,1,1.135,0.750714286,0.810714286,0.750714286
8,0,227,335,6.1,18,3.1032,12.86,595.2,233.6,612,211,0.97254902,1.107109005,4,0,0.1401,0.1401,1,0,1,1,1,1.486,1.000713776,1.060670949,1.000713776
8,0,227,335,6.1,18,3.1032,12.86,595.2,233.6,612,211,0.97254902,1.107109005,4,0,0.1403,0.1403,1,0,1,1,1,1.319,0.880256593,0.940128297,0.880256593
8,0,227,335,6.1,18,3.1032,12.86,595.2,233.6,612,211,0.97254902,1.107109005,4,0,0.1421,0.1421,1,0,1,1,1,1.056,0.684025334,0.743138635,0.684025334
8,0,171,726,6.5,21,3.6204,15,595.2,233.6,612,211,0.97254902,1.107109005,4,0,0,0,0,0,0,1,1,0.064,,,
8,0,171,726,6.5,21,3.6204,15,595.2,233.6,612,211,0.97254902,1.107109005,4,0,0.1393,0.1393,1,0,1,1,1,0.206,0.101938263,0.147882268,0.101938263
8,0,171,726,6.5,21,3.6204,15,595.2,233.6,612,211,0.97254902,1.107109005,4,0.14,0,0.14,0,0,1,1,1,0.295,0.165,0.210714286,0.165
8,0,171,726,6.5,21,3.6204,15,595.2,233.6,612,211,0.97254902,1.107109005,4,0,0.14,0.14,1,0,1,1,1,0.445,0.272142857,0.317857143,0.272142857
8,0,171,726,6.5,21,3.6204,15,595.2,233.6,612,211,0.97254902,1.107109005,4,0,0.1401,0.1401,1,0,1,1,1,0.523,0.327623126,0.373304782,0.327623126
8,0,171,726,6.5,21,3.6204,15,595.2,233.6,612,211,0.97254902,1.107109005,4,0,0.1403,0.1403,1,0,1,1,1,0.785,0.513898788,0.559515324,0.513898788
8,0,171,726,6.5,21,3.6204,15,595.2,233.6,612,211,0.97254902,1.107109005,4,0,0.1421,0.1421,1,0,1,1,1,0.72,0.461646728,0.506685433,0.461646728
8,0,227,335,6.1,18,3.1032,12.86,629.6,173,612,211,1.02875817,0.819905213,4,0,0,0,0,0,0,1,1,0.101,,,
8,0,227,335,6.1,18,3.1032,12.86,629.6,173,612,211,1.02875817,0.819905213,4,0.14,0,0.14,0,0,1,1,1,1.063,0.687142857,0.759285714,0.687142857
8,0,227,335,6.1,18,3.1032,12.86,629.6,173,612,211,1.02875817,0.819905213,4,0,0.1404,0.1404,1,0,1,1,1,1.132,0.734330484,0.806267806,0.734330484
8,0,227,335,6.1,18,3.1032,12.86,629.6,173,612,211,1.02875817,0.819905213,4,0,0.1434,0.1434,1,0,1,1,1,2.168,1.441422594,1.511854951,1.441422594
8,0,227,335,6.1,18,3.1032,12.86,629.6,173,612,211,1.02875817,0.819905213,4,0,0.1436,0.1436,1,0,1,1,1,0.902,0.557799443,0.628133705,0.557799443
8,0,227,335,6.1,18,3.1032,12.86,629.6,173,612,211,1.02875817,0.819905213,4,0,0.1447,0.1447,1,0,1,1,1,0.53,0.296475466,0.366275052,0.296475466
8,0,227,335,6.1,18,3.1032,12.86,629.6,173,612,211,1.02875817,0.819905213,4,0,0.15,0.15,1,0,1,1,1,1.728,1.084666667,1.152,1.084666667
8,0,171,726,6.5,21,3.6204,15,629.6,173,612,211,1.02875817,0.819905213,4,0,0,0,0,0,0,1,1,0.04,,,
8,0,171,726,6.5,21,3.6204,15,629.6,173,612,211,1.02875817,0.819905213,4,0.14,0,0.14,0,0,1,1,1,0.093,0.037857143,0.066428571,0.037857143
8,0,171,726,6.5,21,3.6204,15,629.6,173,612,211,1.02875817,0.819905213,4,0,0.1404,0.1404,1,0,1,1,1,0.092,0.037037037,0.065527066,0.037037037
8,0,171,726,6.5,21,3.6204,15,629.6,173,612,211,1.02875817,0.819905213,4,0,0.1434,0.1434,1,0,1,1,1,0.241,0.140167364,0.168061367,0.140167364
