Pub year,Reference,Article title,Region,Location,State,year,Soil type,Clay content,Sand content,pH,Tair,Annual Prec.,Precipitation,ETP (may-oct),PREC/ETP,Type_syn,Application amount,Type_org,Application amount.org,cum. N2O,Control N2O,EF,Length of exp,Replication of flux samples,Measurements,Crop,Crop type
2013,Burzaco J.P.; Smith D.R.; Vyn T.J.,"Nitrous oxide emissions in Midwest US maize production vary widely with band-injected N fertilizer rates, timing and nitrapyrin presence",North,West Lafayette,Indiana,2010,Silty clay loam,,,6.2,10.98,,578.8,656,0.88,"UAN, 28% N ",90,,,0.5074,0.33,0.001971111,118,4,,maize,Annual
2013,Burzaco J.P.; Smith D.R.; Vyn T.J.,"Nitrous oxide emissions in Midwest US maize production vary widely with band-injected N fertilizer rates, timing and nitrapyrin presence",North,West Lafayette,Indiana,2010,Silty clay loam,,,6.2,10.98,,578.8,656,0.88,"UAN, 28% N ",180,,,0.944,0.33,0.003411111,118,4,,maize,Annual
2013,Burzaco J.P.; Smith D.R.; Vyn T.J.,"Nitrous oxide emissions in Midwest US maize production vary widely with band-injected N fertilizer rates, timing and nitrapyrin presence",North,West Lafayette,Indiana,2011,Silty clay loam,,,6.3,11.29,,517.3,638,0.81,"UAN, 28% N ",90,,,1.2125,0.5335,0.007544444,97,4,,maize,Annual
2013,Burzaco J.P.; Smith D.R.; Vyn T.J.,"Nitrous oxide emissions in Midwest US maize production vary widely with band-injected N fertilizer rates, timing and nitrapyrin presence",North,West Lafayette,Indiana,2011,Silty clay loam,,,6.3,11.29,,517.3,638,0.81,"UAN, 28% N ",180,,,2.2795,0.5335,0.0097,97,4,,maize,Annual
2011,Collins H.P.; Alva A.K.; Streubel J.D.; Fransen S.F.; Frear C.; Chen S.; Kruger C.; Granatstein D.,Greenhouse gas emissions from an irrigated silt loam soil amended with anaerobically digested dairy manure,North,Prosser,Washington,2008,Silt loam,115,208,6.7,10.5,130,39.7,714,0.06,,,Anaerobically digester fiber (DF),336,0.02,0.024,-1.19E-05,117,4,14,Silage corn,Annual
2011,Collins H.P.; Alva A.K.; Streubel J.D.; Fransen S.F.; Frear C.; Chen S.; Kruger C.; Granatstein D.,Greenhouse gas emissions from an irrigated silt loam soil amended with anaerobically digested dairy manure,North,Prosser,Washington,2007,Silt loam,115,208,6.7,10.9,208,75.5,715,0.11,Urea,336,,,0.017,0.016,2.98E-06,114,4,15,Silage corn,Annual
2011,Collins H.P.; Alva A.K.; Streubel J.D.; Fransen S.F.; Frear C.; Chen S.; Kruger C.; Granatstein D.,Greenhouse gas emissions from an irrigated silt loam soil amended with anaerobically digested dairy manure,North,Prosser,Washington,2007,Silt loam,115,208,6.7,10.9,208,75.5,715,0.11,,,Anaerobically digester fiber (DF),336,0.028,0.016,3.57E-05,114,4,15,Silage corn,Annual
2011,Collins H.P.; Alva A.K.; Streubel J.D.; Fransen S.F.; Frear C.; Chen S.; Kruger C.; Granatstein D.,Greenhouse gas emissions from an irrigated silt loam soil amended with anaerobically digested dairy manure,North,Prosser,Washington,2007,Silt loam,115,208,6.7,10.9,208,75.5,715,0.11,,,Anaerobic digested dairy manure slurry (DE),336,0.03,0.016,4.17E-05,114,4,15,Silage corn,Annual
2011,Collins H.P.; Alva A.K.; Streubel J.D.; Fransen S.F.; Frear C.; Chen S.; Kruger C.; Granatstein D.,Greenhouse gas emissions from an irrigated silt loam soil amended with anaerobically digested dairy manure,North,Prosser,Washington,2007,Silt loam,115,208,6.7,10.9,208,75.5,715,0.11,,,Raw liquid manure (LM),336,0.05,0.016,0.00010119,114,4,15,Silage corn,Annual
2011,Collins H.P.; Alva A.K.; Streubel J.D.; Fransen S.F.; Frear C.; Chen S.; Kruger C.; Granatstein D.,Greenhouse gas emissions from an irrigated silt loam soil amended with anaerobically digested dairy manure,North,Prosser,Washington,2008,Silt loam,115,208,6.7,10.5,130,39.7,714,0.06,Urea,336,,,0.064,0.024,0.000119048,117,4,14,Silage corn,Annual
2011,Collins H.P.; Alva A.K.; Streubel J.D.; Fransen S.F.; Frear C.; Chen S.; Kruger C.; Granatstein D.,Greenhouse gas emissions from an irrigated silt loam soil amended with anaerobically digested dairy manure,North,Prosser,Washington,2008,Silt loam,115,208,6.7,10.5,130,39.7,714,0.06,,,Anaerobic digested dairy manure slurry (DE),336,0.066,0.024,0.000125,117,4,14,Silage corn,Annual
